Estado,Superficie_miles_Ha,Volumen_miles_Ton,Valor_millones_MXN,Anio
Michoacán,168.15935000000002,1775.28961,44718.51760907,2022
Jalisco,28.55279,307.50983,9678.9881236,2022
Estado de México,13.03371,127.08014,2249.0431401399997,2022
Nayarit,7.1395,64.95251999999999,1378.8311731800002,2022
Morelos,4.577,44.2775,958.49931283,2022
Chiapas,3.17725,15.18674,396.56931001,2022
Oaxaca,2.75793,11.16549,299.74443544999997,2022
Guerrero,2.59715,16.45613,192.08558675999998,2022
Puebla,2.0153499999999998,11.86016,210.40835362,2022
Durango,1.037,1.534,25.23647978,2022
Colima,0.76139,7.71227,150.54019688,2022
Hidalgo,0.7357,2.9039,66.02906299,2022
Veracruz,0.69078,5.92744,93.97680769,2022
Guanajuato,0.138,0.91225,21.14335697,2022
Sinaloa,0.10912000000000001,0.13571,2.18887332,2022
Querétaro,0.07,0.17796,3.29006391,2022
San Luis Potosí,0.065,0.21264,4.524,2022
Sonora,0.046799999999999994,0.431,12.93,2022
Baja California,0.044,0.11,2.10388,2022
Baja California Sur,0.031,0.14683000000000002,2.47144697,2022
Zacatecas,0.03,0.21530000000000002,3.29397,2022
Tlaxcala,0.029,0.21059999999999998,3.6855,2022
Tamaulipas,0.026,0.009,0.1215,2022
Yucatán,0.011,0.0,0.0,2022
Michoacán,178.63713,2167.4727799999996,41656.133935629994,2023
Jalisco,29.52387,321.92388,8951.42826668,2023
Estado de México,12.85651,131.89482999999998,2428.9331523,2023
Nayarit,7.2525,66.99178,1490.09718003,2023
Morelos,4.674,44.680800000000005,926.12855949,2023
Chiapas,3.18275,16.214209999999998,439.74528899,2023
Oaxaca,2.83044,14.55072,334.21783901,2023
Guerrero,2.60615,16.834349999999997,188.83354753,2023
Puebla,2.3709499999999997,15.88319,299.57630939999996,2023
Durango,1.11,2.0992100000000002,33.1030527,2023
Colima,0.7665,7.98091,139.42065535,2023
Hidalgo,0.7165,3.02627,69.15947059,2023
Veracruz,0.6931,7.48619,117.87928570999999,2023
Guanajuato,0.1665,0.99045,20.22793552,2023
Sinaloa,0.129,1.6295899999999999,21.15362713,2023
San Luis Potosí,0.126,0.388,6.7234,2023
Querétaro,0.065,0.19974,4.2396647000000005,2023
Sonora,0.0533,0.43539999999999995,14.2824,2023
Baja California Sur,0.039,0.14695,2.47861181,2023
Zacatecas,0.032,0.24234999999999998,3.835485,2023
Tlaxcala,0.028,0.21756,3.872568,2023
Tamaulipas,0.019629999999999998,0.02819,0.56252497,2023
Baja California,0.016,0.118,2.337,2023
Yucatán,0.011,0.0,0.0,2023
